id,sentence,acceptable,error_type,detailed_source
3328,Горькая складка обозначилась у губ гостя.,1,0,Seliverstova
3329,Ни одна книга была не интересна.,1,0,Rusgram
3330,Я имею книгу в руке.,0,Semantics,Seliverstova
3331,Весь год у меня был друг.,1,0,Seliverstova
3332,Такие случаи не редки.,1,0,Rusgram
3333,Письмо обрывалось на полуслове.,1,0,Paducheva2010
3334,Какой красивый у вас пояс!,1,0,Paducheva2010
3335,"Вася сказал: ""У меня кое-что для тебя есть"".",1,0,Paducheva2010
3336,"Если нация не понимает ценности государства, она опасно больна.",1,0,Paducheva2013
3337,Дремучее невежество посетителя изумило даже видавших виды опытных сотрудников.,1,0,USE5
3338,Геологической партии не было на базе.,1,0,Paducheva2013
3339,Опять началось состояние: комната освещена только лампадой.,1,0,Paducheva2004
3340,Только что приподнялась портьера и он увидел Настасью Филипповну –– все остальное перестало для него существовать.,1,0,Paducheva2004
3341,О староверах я уже писал.,1,0,Paducheva2010
3342,Вчера я имела собрание.,0,Semantics,Seliverstova
3343,Вани не было дома.,1,0,Paducheva2004
3344,Вдали виднелись очертания домов.,1,0,Paducheva2010
3345,У меня есть деньги.,1,0,Seliverstova
3346,Ее новый кавалер неудачно выбирает местом свидания Кистеневскую рощу.,0,Semantics,Paducheva2004
3347,Пятна от чая легко отстирываются.,1,0,Paducheva2004
3348,"Ведущие банкиры страны уверены в том, что надвигается очередной экономический кризис.",1,0,USE5
3349,Светлое и темное обрабатываются отдельно.,1,0,Rusgram
3350,Драка еще не началась.,1,0,Paducheva2004
3351,Я решал такие задачи.,1,0,Paducheva2010
3352,Я ему об этом писал.,1,0,Paducheva2010
3353,Художественная гимнастика — один из самых эффектных и красивых видов спорта.,1,0,USE5
3354,Он дал этот концерт в честь своего учителя.,1,0,Seliverstova
3355,Что он на это сказал?,1,0,Paducheva2004
3356,Хутор находится вдали от леса.,0,Semantics,Seliverstova
3357,"Вообще он замечательный отец, все время возится с детьми.",1,0,Rusgram
3358,"Создавая пейзажные зарисовки, художниками запечатлевается красота России.",0,Syntax,USE8
3359,"Современный ребёнок — независимая личность, в раннем возрасте способный самостоятельно принимать решения.",0,Syntax,USE8
3360,"Он испуганно обвел глазами дома, как бы опасаясь в каждом окне увидеть по атеисту.",1,0,Paducheva2010
3361,"Оказывался бесцеремонный нажим, но даже под ним мы не изменили решения.",1,0,Testelets
3362,"В медицине не существует метода лечения, который бы уже не был нами испробован.",1,0,Paducheva2013
3363,"Но все поняли, что молотобоец поддерживает кузнеца, которого он не мог не поддерживать.",1,0,Lutikova
3364,"Дорога идёт в глухом лесу, петляя по склонам.",1,0,Paducheva2004
3365,"Она себя считала существом отсталым, неудачливым, обречённым прожить тусклую, тяжёлую жизнь.",1,0,USE5
3366,"Приютив бездомного котёнка, нам следовало позаботиться о его прививках.",0,Syntax,USE8
3367,"Эти люди, недоброжелатели друг друга, не могут сговориться.",1,0,Testelets
3368,"Просто ляжете на траву, закройте глаза и почувствуйте, что происходит внутри.",0,Morphology,USE7
3369,Детей жалко –– они не виноваты.,1,0,Paducheva2004
3370,Братья собрали несколько ведер вишней.,0,Morphology,USE7
3371,Почему Вани не было в школе?,1,0,Paducheva2004
3372,"Пошли то по песку, то по гравию, а там, где дорогу преграждали камни и скалы, поднимались наверх и шли по холмам.",1,0,Testelets
3373,После новогодних поздравлений началась раздача подарков.,1,0,USE5
3374,"Она стояла так рядом, что я ощущала запах ее духов.",0,Semantics,Seliverstova
3375,"Сомнения в нём были, раз хотели проверить.",1,0,Rusgram
3376,"Максим Максимыч упрекает Печорина в том, что почему он охладел к Бэле.",0,Syntax,USE8
3377,Память его казалась священною для Маши.,1,0,Paducheva2010
3378,"Я готов жениться на ком угодно, лишь бы только избавить вас от нужды.",1,0,Seliverstova
3379,Как мама потом нашла у дочки в шкафе этот свёрток с бельём и стала сама для неё вручную делать бельё маленьких размеров.,0,Morphology,USE7
3380,"Но он ушёл, потому что Катя.",0,Syntax,Rusgram
3381,Оттуда привезли в последний момент взвод солдатов и военный оркестр.,0,Morphology,USE7
3382,В номере имеется телефон.,1,0,Paducheva2004
3383,Он сидел около меня.,1,0,Seliverstova
3384,"Протопоп сказал прочувствованное слово, говоря, лил слезы, утирал мокрое лицо рукавом подрясника.",1,0,Rusgram
3385,Вдалеке окруженный горами виднелся величавый Бешту.,1,0,Seliverstova
3386,Мы имели возможность работать каждый со своим материалом.,1,0,Testelets
3387,Сытный тётушкин суп понравился всем детям.,1,0,USE5
3388,Никто там не был.,1,0,Testelets
3389,"Статья в ""Times"" рассердила меня на Джона.",0,Semantics,Paducheva2004
3390,Капитан подтвердил приказ рано утром выйти в море.,1,0,Paducheva2004
3391,Он не пропьет все деньги.,1,0,Paducheva2013
3392,Откуда-то издалека звучит колокол.,1,0,Paducheva2004
3393,"Ашот лежал на своей койке и спал, а я сидел у окна.",1,0,Seliverstova
3394,Вместо обеда он съел несколько слив.,1,0,Paducheva2010
3395,"По письмам и мемуарам, написанными современниками А. С. Пушкина, историкам литературы с точностью до деталей удалось восстановить день дуэли.",0,Syntax,USE8
3396,"К сожалению, реальные действия официального Таллина такую перспективу пока, мягко говоря, не приближают.",1,0,Paducheva2013
3397,"Едва я вошел в дом, как зазвонил телефон.",1,0,Rusgram
3398,"Солнечные блики скользят по воде, а параллельно с нашей яхтой движется четвёрка касаток, и только их вздохи и всплески волн нарушают безмолвие океана.",1,0,USE5
3399,"Посыпали тротуар песком, чтобы ни один человек не упал.",1,0,Paducheva2004
3400,Блестяще проведенным экспериментом он доказывает свою гипотезу.,1,0,Paducheva2004
3401,"Он оставил сына в деревне, а сам уехал в Ленинград.",1,0,Seliverstova
3402,"Это то впечатление, которое вы хотите чтобы мы вынесли которое отсюда?",1,0,Lutikova
3403,"Он не так уж часто беседовал в этом с друзьями и никогда не говорил на эту тему с журналистами, которые брали у него интервью.",0,Syntax,Testelets
3404,"Ивану письмо, которого он давно ждал, в конце концов пришло к.",0,Syntax,Testelets
3405,Внезапно за песчаным холмом показался камень величиной с дом.,1,0,Testelets
3406,Приносить спиртные напитки и распивать их запрещаются.,0,Syntax,Testelets
3407,Я предпочитаю воздерживаться от какого-либо вмешательства.,1,0,Paducheva2013
3408,Бабушка вяжет шарф и подарила его своему внуку.,0,Syntax,USE8
3409,Он работал на кирпичном заводе у деревни «Малые Вяземы».,0,Semantics,Seliverstova
3410,"Размышляя над этой проблемой, мне вспомнился рассказ М.А. Шолохова «Судьба человека».",0,Syntax,USE8
3411,Я подарю ей какую-нибудь из этих книг.,1,0,Seliverstova
3412,Перед усталыми путниками по-прежнему расстилалась неоглядная даль.,1,0,USE5
3413,Конный клуб предлагает программы индивидуального обучения.,1,0,USE5
3414,"Зажегся зеленый свет, но ни одной машины не тронулось с места.",1,0,Paducheva2013
3415,"Учитель указал о том, что в сочинении есть ошибки.",0,Syntax,USE8
3416,Он становится мертвенно бледным.,1,0,Seliverstova
3417,"Вы читали ""Капитанскую дочку""?",1,0,Paducheva2010
3418,Многие не хотят перемен.,1,0,Paducheva2013
3419,"Занимать денег у Фили Герой не стал ― и тем самым остался на равных со старым приятелем, не испортил дружбу деньгами.",1,0,Paducheva2013
3420,Выбери себе еду по вкусу.,1,0,Paducheva2004
3421,Дима завершил свой туалет итальянским плащом болонья с золотыми пряжками на погонах.,1,0,Testelets
3422,Я обвиняю Джона не в национализме.,1,0,Paducheva2013
3423,Жалобы этой женщины мне надоели.,1,0,Paducheva2004
3424,Тираны всюду и везде уподобились пастухам старых басен.,1,0,USE7
3425,Книга была принесена мальчиком.,1,0,Testelets
3426,Мы оговорили возможность работать каждому со своим материалом.,1,0,Testelets
3427,"Вспоминая эти встречи, мне приходит в голову одна мысль.",1,0,Testelets
3428,Они решили оба распоряжаться.,1,0,Testelets
3429,"На пути к победе солдаты готовы были претерпеть все бедствия, преодолеть все преграды.",1,0,USE5
3430,"Чем расслабленней тело, тем лучше оно резонирует — за счёт этого голос более звучнее при тех же усилиях со стороны связок.",0,Morphology,USE7
3431,Я считала его Борисом.,0,Semantics,Seliverstova
3432,Подобные поручения очень обременяют.,1,0,Testelets
3433,Из этого он выстрелил.,1,0,Testelets
3434,Он существует в Киеве.,0,Semantics,Seliverstova
3435,"Браконьерам, нарушающих закон, грозит серьёзный штраф.",0,Syntax,USE8
3436,Ты когда-нибудь ехал верхом?,0,Semantics,Paducheva2010
3437,"Не только покупал, но и купил.",1,0,Paducheva2010
3438,Комнату осветила только лампада.,1,0,Paducheva2004
3439,"Я не мог поверить, что этот ужасный человек и есть я.",1,0,Seliverstova
3440,"Мой единственный помощник, студент В. Каменский, вряд ли мог чем помочь в этом отношении ― он первый раз принимал участие в такой экспедиции.",1,0,Testelets
3441,Я попросила его постричь газон рядом с нашим домом.,1,0,Seliverstova
3442,Он не ест каши.,1,0,Paducheva2013
3443,Но я не буду целиться сквозь густые ветви.,1,0,Paducheva2004
3444,Ты можешь доехать до вокзала на этом автобусе.,1,0,Paducheva2013
3445,Возле крайней избы поселка стояла баба в короткой исподнице.,1,0,Seliverstova
3446,"Мне самой это совершенно ясно, но другие почему-то не верят, даже самые близкие друзья.",1,0,Rusgram
3447,Римляне никому не уступают в доблести.,1,0,Testelets
3448,"Принято считать, что Сочи стало курортом в 1909 году, когда открылся гостиничный комплекс «Кавказская Ривьера».",0,Syntax,USE8
3449,Тут мы не вправе вступать ни в какую полемику.,1,0,Paducheva2013
3450,Я не потерял надежды.,1,0,Paducheva2013
3451,"И испанский, и португальский похожи.",0,Syntax,Rusgram
3452,"Ты виноват уж тем, что хочется мне кушать.",1,0,Paducheva2004
3453,Ветер гудит в проводах.,1,0,Paducheva2004
3454,"Это был человек совести, и он не мог не поступить справедливо по ней.",0,Syntax,Testelets
3455,"Похорони меня, и выходи замуж...",1,0,Paducheva2010
3456,Отказ от игры не уронил бы Фишера в глазах шахматистов.,1,0,Paducheva2013
3457,Ему не повезло родиться богатым.,1,0,Paducheva2013
3458,Всё это я не знал.,1,0,Paducheva2013
3459,"Я утешил его соображением, что время лечит.",1,0,Paducheva2004
3460,"Пистолет лежит на шкафе, возьми его и сразу беги из дому.",0,Morphology,USE7
3461,"У меня какое-то странное ощущение: мне кажется, что я куда-то падаю.",1,0,Seliverstova
3462,Каждый из создателей этого фильма сказали на его премьере несколько слов о процессе съёмок.,0,Syntax,USE8
3463,"Клиент был согласен на данные условия, после чего обе стороны подписали договора накопительного страхования.",0,Morphology,USE7
3464,Таких сведений у нас не имеется.,1,0,Testelets
3465,Обсуждать что-либо всерьез становится практически невозможно.,1,0,Paducheva2013
3466,"Скажете ли вы, что я более честнее поступил?",0,Morphology,USE7
3467,Его убили недалеко от «Трех утопленников».,1,0,Seliverstova
3468,Тираны всюду и везде уподобились пастухам старых басней.,0,Morphology,USE7
3469,"Пойду домой, возьму теплую кофточку и вернусь сюда.",1,0,Seliverstova
3470,Так саркастически может писать только этот журналист.,1,0,Testelets
3471,"Последнее время в жизни и деятельности начальника ЦСКА началась какая-то не то чтобы черная, но уж больно серая полоса.",1,0,Paducheva2013
3472,"Его вдруг стремительно, словно взрывом, бросило в сторону.",1,0,Rusgram
3473,"Господа, мы должны употребить все усилия, чтобы эта дуэль не состоялась.",1,0,Paducheva2013
3474,"Пиши стихи, а не прозу.",1,0,Testelets
3475,Иван еще не был в таком театре.,1,0,Paducheva2013
3476,В Мариинском театре танцевало десять балерин.,1,0,Lutikova
3477,"Было тепло и солнечно, несмотря на то, что осень явно перешла в наступление.",1,0,Rusgram
3478,Ваш приказ к 16 часам вернуть высоту 193 выполнен.,1,0,Lutikova
3479,"Студенты, сами знатоки эскимосского языка, не смогли разобрать здесь ни слова.",1,0,Testelets
3480,"Цокая языком, зверьком издаются звуки, которые, отражаясь от предметов, помогают определить их пространственное положение.",0,Syntax,USE8
3481,Она усвоила его методы работы.,1,0,Seliverstova
3482,Каждую рукопись читало по редактору.,1,0,Testelets
3483,"Близ пустынных развалин Лакедемона встретил девушку, похожую на изваяние древней богини.",1,0,Seliverstova
3484,"Вспомнил, что Н.С. Михалков недавно выразил желание быть похороненным здесь.",1,0,Lutikova
3485,Я получила к нему отвращение.,0,Semantics,Seliverstova
3486,"Поймите же, что у нее есть талант.",1,0,Seliverstova
3487,Не прочту даже предисловия.,1,0,Paducheva2013
3488,Хирург принимал в среду.,1,0,Paducheva2010
3489,Послышалисъ звуки у скрипки.,0,Semantics,Seliverstova
3490,"Германн видел, как лакеи вынесли под руки сгорбленну старуху, мелькнула ее воспитанница.",1,0,Paducheva2010
3491,"Жизнь имеет смысл, пока существует Эверест.",1,0,Paducheva2013
3492,Покупал эти часы отец давно.,1,0,Paducheva2004
3493,"Нужно бороться против кого-то, кто сеет зло.",0,Semantics,Seliverstova
3494,Мы первыми научились видеть дальше собственного порога и думать более шире родимой околицы.,0,Morphology,USE7
3495,Он сел возле нее и взял ее за руку.,1,0,Seliverstova
3496,"В рассказе описывается путешествие к замку, находящегося на самой вершине живописного холма.",0,Syntax,USE8
3497,"Вчера купили Миша книгу, а Коля компакт-диск.",1,0,Testelets
3498,Мы подходили к концу века.,1,0,Paducheva2004
3499,"Включив весёлую музыку, уборка в доме становится приятным занятием.",0,Syntax,USE8
3500,"Молодёжь, которая приняла участие в экологическом форуме, убедились в необходимости правильной утилизации пластика.",0,Syntax,USE8
3501,Он шел около пленного и время от времени бил его.,1,0,Seliverstova
3502,В этом слове я все время делала ошибку.,1,0,Paducheva2010
3503,Вождь хочет поговорить с кем-нибудь из вас.,1,0,Seliverstova
3504,Этот узнаю был очень тяжелым.,0,Syntax,Testelets
3505,Они называли его талантливыми.,0,Syntax,Testelets
3506,У соболя густой и длинный мех.,1,0,Seliverstova
3507,Николай еще раз подтвердил свое распоряжение Воронцову усиленно тревожить Чечню.,1,0,Paducheva2004
3508,"Наверное, к нему кто-нибудь пришел.",1,0,Paducheva2010
3509,"Наставник изучал Захара Павловича и мучился: «холуй, наверно; где пальцем надо нажать, он, скотина, кувалдой саданет...»",1,0,Seliverstova
3510,"Светит солнце и не холодно, но и не хочется идти гулять.",0,Syntax,Rusgram
3511,Я уже полчаса тебя бужу.,1,0,Paducheva2010
3512,"Из того, что он заработал, он много пожертвовал церкви.",1,0,Rusgram
3513,"Читая исторические романы, события прошлых лет словно оживают в памяти.",0,Syntax,USE8
3514,На работе нормально функционирующей системы смена руководства не дол- жна сказаться отрицательно.,1,0,Paducheva2013
3515,Отец никогда не был в Москве.,1,0,Paducheva2013
3516,"Борис перестал бывать у Элен, ежедневно получал укоризненные записки от нее и все-таки целые дни проводил у Ростовых.",1,0,Seliverstova
3517,"Весь день я бродил по улицам довольный, возбуждённый, вечером пописал статью и отнёс на телеграф.",0,Semantics,Paducheva2010
3518,"В этом есть необходимость, так как очень много яблоков я набрала с собой.",0,Morphology,USE7
3519,"Покажи, я умираю от любопытства!",1,0,Paducheva2010
3520,У меня сегодня занятия по английскому языку.,1,0,Seliverstova
3521,"Она стояла так вблизи, что я ощущала запах ее духов.",0,Semantics,Seliverstova
3522,Он обратил внимание на эту женщину.,1,0,Paducheva2004
3523,"Он думал о том, что вот в его жизни было еще одно похождение или приключение, и оно тоже уже кончилось.",1,0,Paducheva2010
3524,"Если бы этот тяжелый железный лист упал на три-четыре метра ближе, он кого-нибудь убил бы.",1,0,Rusgram
3525,Всякий школьник знает теорему Пифагора.,1,0,Rusgram
3526,"Мальчик кошку принес, а отец прогнал.",1,0,Testelets
3527,Его давно не было в Москве.,1,0,Paducheva2013
3528,"Я утверждаю, что кто может объять необъятное.",0,Semantics,Paducheva2010
3529,Колеса отвратительно скрежетали по щебню.,1,0,Paducheva2004
3530,"Петр Степанович, конечно, знал, что рискует, пускаясь в такие выверты.",1,0,Paducheva2004
3531,"Выбирай, я или он.",1,0,Paducheva2004
3532,Было услышано его историю.,0,Syntax,Mitrenina
3533,Он посильнее всех.,0,Morphology,Rusgram
3534,Уличных звуков сюда не доносится.,1,0,Paducheva2004
3535,"К мельнице бежали люди, они пробирались по плотине и кричали ― Сенька в окно видел их ноги.",1,0,Paducheva2004
3536,"Среди сподвижников молодого царя, прежде хранившим верность своему повелителю, послышался возмущённый ропот.",0,Syntax,USE8
3537,"Искусственный алмаз получают из сырья, богатого углеродом.",1,0,USE5
3538,"Занятий, я рад, не будет.",0,Semantics,Paducheva2010
3539,Павел Алексеевич уже перестал ждать какого-либо ответа.,1,0,Paducheva2013
3540,"Бой часов напомнил мне, что пора уходить.",1,0,Paducheva2004
3541,Ты когда-нибудь ехал в Коломенское?,0,Semantics,Paducheva2010
3542,Он готов отдать за нее жизнь.,1,0,Seliverstova
3543,"Чтобы встать пораньше, надо завтра завести будильник.",1,0,Testelets
3544,За огородами следовали крестьянские избы.,1,0,Paducheva2004
3545,Детские врачи рекомендуют переводить ребёнка на искусственное питание с десятимесячного возраста.,1,0,USE5
3546,Он не заметил холода.,1,0,Paducheva2004
3547,Почти в то же самое время и Афанасий Иванович Тоцкий опять обнаружил свое старинное желание жениться.,1,0,Paducheva2004
3548,Егорушка подошел к столу и сел на скамью около чьей-то головы.,1,0,Seliverstova
3549,Ни в одном номере телевизор не стоял.,1,0,Paducheva2013
3550,"Автор книги хотел как можно подробнее рассказать об этих людях, самих хозяевах своей судьбы.",0,Syntax,Testelets
3551,Он был в страшном отчаянии.,1,0,Seliverstova
3552,Как здесь очутился этот чемодан?,1,0,Paducheva2004
3553,Есть одна удивительная женщина у нас в Покрове.,1,0,Seliverstova
3554,"Нельзя писать, когда тебе не пишется.",1,0,Rusgram
3555,"Ум мой бессознательно отказывался выводить всякие заключения из того, что я видел.",0,Semantics,Paducheva2013
3556,Каждый редактор читает по рукописи.,1,0,Testelets
3557,Дочь ответила на произнесённые родителями слова поддержки признательным взглядом.,1,0,USE5
3558,"Легко показать, что всякий иной путь длиннее этого.",1,0,USE7
3559,"За тот год добыча угля не возросла на 10 млн тонн, как было запланировано.",1,0,Paducheva2010
3560,"Поэтому надо согласиться с выводом, что надеяться на победу чисто парламентским путем наивно.",1,0,Paducheva2013
3561,Есть за границей контора Кука.,1,0,Paducheva2013
3562,Я прошу у вас прощенья за вчерашнее.,1,0,Paducheva2010
3563,"Она приняла его взгляды, привычки, вкусы.",1,0,Seliverstova
3564,"Причина события менее важна, чем само событие.",1,0,Paducheva2004
3565,"Погода, ей казалось, была плохая.",1,0,Paducheva2010
3566,Это здание напоминает античный храм.,1,0,Paducheva2010
3567,"Охотник начал забывать о своем вечном страхе перед природой, которая давала ему все: жилище, пищу, одежду, жир для поддержания огня.",1,0,Paducheva2004
3568,"Я не сомневался, что операция, однако, увенчается успехом.",0,Semantics,Paducheva2010
3569,Расплата с Андреем Антоновичем началась немедленно.,1,0,Paducheva2004
3570,Сотрудники компании имели гарантированный отпуск.,1,0,USE5
3571,"Если вы поторопитесь, вы рискуете попасть к такому же Мельнику, от которого столь поспешно сбегаете.",1,0,Paducheva2004
3572,Ни один коротышка не смог бы сорвать орех руками ― их надо было пилить пилой.,1,0,Testelets
3573,"У меня была возможность все видеть, самому оставаясь незамеченным.",1,0,Testelets
3574,Пёс от счастья машет хвостом и протянул мне лапу.,0,Syntax,USE8
3575,Анализ таких важных исторических событий должен быть всенепременно фактичным и должен строиться только на фактах.,1,0,USE5
3576,"Неси, какие есть, я уезжаю.",1,0,Paducheva2010
3577,Сколько радости было в этой встрече.,1,0,Seliverstova
3578,Он поставил перед собой задачу сделать это один.,1,0,Testelets
3579,Он постоянно имеет при себе револьвер.,1,0,Paducheva2010
3580,"Только бы он быстро не понял, в чем подвох.",1,0,Paducheva2013
3581,Но и остальные жители села не должны оказаться за бортом.,1,0,Paducheva2013
3582,"Пишу вам из деревни, куда заехал вследствие печальным обстоятельствам.",0,Syntax,USE8
3583,У меня в памяти остался лишь небольшой отрывок из этого стихотворения.,1,0,USE5
3584,"Ты захотел посетить своего приятеля; но ты опоздал, amice, и мы уже имели с ним продолжительную беседу.",1,0,Seliverstova
3585,"Чего только не было: копченые окорока, настоящее салями, мясо, яблоки, пироги!",1,0,USE7
3586,"Некоторых читателей, забывшимся и потерявшим ход времени, библиотекарям приходится просить покинуть учреждение после закрытия.",0,Syntax,USE8
3587,Жена не отдала мне ключи от гаража.,1,0,Paducheva2013
3588,Это начало мне надоедать.,1,0,Paducheva2010
3589,До выполнения ремонтных работ по замене повреждённых элементов необходимо в целях безопасности огородить опасную зону.,1,0,USE5
3590,Ваня не решал задачу.,1,0,Paducheva2013
3591,"Дядя Сергей отличался от соседей только тем, что очень любил и гордился своей дочерью.",0,Syntax,USE8
3592,"Я полагаю, что он должен на ней жениться.",1,0,Seliverstova
3593,"Исполняя эту пьесу, было чувство радости, переполнявшее исполнительницу.",0,Syntax,USE8
3594,"Что запирается, так что инструментом не смогут воспользоваться без ведома владельца?",0,Syntax,Rusgram
3595,"Если бы он вскоре не понял свою ошибку, возникла бы опасная ситуация.",1,0,Paducheva2013
3596,Он живет очень поблизости со мной.,0,Semantics,Seliverstova
3597,"Я сказал им, чтобы они шли, что ли.",0,Semantics,Paducheva2010
3598,Король Хуссейн выбрал себе в преемники своего сына Абдуллу.,1,0,Paducheva2004
3599,Девочка опять стояла у окна.,1,0,Seliverstova
3600,Он встал около меня и начал выговаривать за опоздание.,1,0,Seliverstova
3601,Лестницы чего поднимались из четырех углов зала?,0,Syntax,Lutikova
3602,У меня написался диплом.,0,Semantics,Rusgram
3603,"Может, даже на дачу куплю старенький телевизор, лишь бы ни одного матча не пропустить.",1,0,Rusgram
3604,Не приводится субстантивных доказательств каких-либо связей прежнего иракского режима с организацией бен Ладена.,1,0,Paducheva2013
3605,Он вырос из ребенка в кого?,0,Syntax,Testelets
3606,"Их машина остановилась у города Клин, а затем двинулась дальше.",1,0,Seliverstova
3607,Приехал директор института член-он.,0,Syntax,Testelets
3608,"Обернувшись назад, мне показалось, что пёс всё ещё идёт за мной, но никого не было.",0,Syntax,USE8
3609,"В 9.15 слушайте рассказ Гайдара ""Дым в лесу"".",1,0,Paducheva2010
3610,Тебе надо показаться врачу.,1,0,Paducheva2004
3611,"Обвинив во всем сотрудников, он одного уволил, а другому объявил выговор.",1,0,Testelets
3612,Я принял его в свою группу.,1,0,Seliverstova
3613,"Он был одним из тех, кто не любили говорить по пустякам.",0,Syntax,USE8
3614,Там нет никаких интересных задач.,1,0,Paducheva2013
3615,Я обязательно отдам эти деньги.,1,0,Seliverstova
3616,"Нет, он меня не перебивал.",1,0,Paducheva2013
3617,Теперь предстояло быть сплавленному на Землю совету насчет манных клецек.,1,0,Lutikova
3618,Франция выводит свои войска из Берлина.,1,0,Paducheva2010
3619,Меня могло бы здесь не быть.,1,0,Paducheva2010
3620,Из баллона газ вытек.,1,0,Testelets
3621,Он пришел весь мокрый.,1,0,Testelets
3622,"И каждый раз, когда раздавался какой-нибудь звук, даже самый слабый, старуха вздрагивала.",1,0,Seliverstova
3623,Я просто не успел тебя пригласить.,1,0,Paducheva2010
3624,"Иван пришел на спектакль, несмотря на головную боль.",1,0,Testelets
3625,"Я бы посоветовал вам принимать гормональные средства, если бы у вас были хорошие анализы.",0,Semantics,Rusgram
3626,"Путешествуя по Крыму и посетив Новый Свет, Коктебель и Бахчисарай, у меня появилось много новых друзей из числа местных жителей.",0,Syntax,USE8
3627,Ферме расширяет свои посевные площади на 20 га.,1,0,Paducheva2010
3628,"Память мне изменяет, и я уже начинаю забывать и путать имена.",1,0,Paducheva2004
3629,Он не будет тормозить резко.,1,0,Paducheva2013
3630,"Вдруг они заметили, что он остановился.",1,0,Paducheva2010
3631,"Незадолго до отпуска мы детально изучили предложения туристических фирм, помещённых в рекламные буклеты.",0,Syntax,USE8
3632,"Потому что это требует готовности клиентов, пока таких прецедентов нет.",0,Syntax,Rusgram
3633,"Рядом с ним стоял какой-то высокий молодой человек, и они о чем-то очень оживленно разговаривали.",1,0,Seliverstova
3634,"Вследствие этого решено было летом уехать всей семьей в Самарские степи, где у папа было имение.",1,0,Testelets
3635,Мы сейчас проезжаем Аникеевку.,1,0,Paducheva2004
3636,Он часто сюда приходит.,1,0,Seliverstova
3637,"Адвокат был нанят подследственным, чтобы отстаивать его интересы.",1,0,Testelets
3638,Варвара была умна и необыкновенно красива.,1,0,Paducheva2013
3639,Загранпаспорт необходимо заменить по истечению срока его действия.,0,Syntax,USE8
3640,"Люди, стоящие поблизости от меня, бросились бежать.",1,0,Seliverstova
3641,"Студенты-дипломники Веймарского университета создали компьютерный проектор, который показывает как кинофильмы, а также телепередачи на любой поверхности.",0,Syntax,USE8
3642,Надо вырабатывать навыки дипломатичного поведения.,1,0,USE5
3643,"Люди заселили Южную Америку в результате одной миграционной волны вскоре после того, как их предки впервые приходили из Сибири в Западное полушарие.",0,Syntax,USE8
3644,"После ужина пили чай и просматриваем газеты, только что привезенные с почты.",0,Syntax,USE8
3645,Я взял из его портфеля свои собственные книги.,1,0,Seliverstova
3646,Он даже не поздоровался.,1,0,Paducheva2013
3647,"Анна и Сергей собрался отправиться в горы, чтобы восстановить силы после всего произошедшего и просто полюбоваться красотой природы.",0,Syntax,USE8
3648,Навстречу группы туристов выдвинулся отряд спасателей.,0,Syntax,USE8
3649,Мы считаем диктат с вашей стороны совершенно недопустимым.,1,0,USE5
3650,Я испугался его приходу.,1,0,Paducheva2004
3651,"Мать взглянула на женщину, это была Самойлова.",1,0,Seliverstova
3652,"В те годы каждая пара туфлей, каждая юбка были проблемой.",0,Morphology,USE7
3653,Скоро он не пришел.,1,0,Paducheva2013
3654,Он несет два арбуза.,1,0,Paducheva2010
3655,Через минуту кофе будет здесь.,1,0,Paducheva2004
3656,"Если мысленно проследить обратный путь метеоров, то оказалось, что все они вылетают из одной области неба — созвездия Персея.",0,Syntax,USE8
3657,Уж не отравы ли боитесь?,1,0,Paducheva2013
3658,Я беру у вас эту книгу.,1,0,Paducheva2010
3659,Близко от нее гвоздики казались особенно и как-то неестественно яркими.,0,Semantics,Seliverstova
3660,На заведующего самого поступают жалобы.,1,0,Testelets
3661,Он хочет жениться на француженке.,1,0,Seliverstova
3662,"Я прочел его, том за томом, на третьем курсе и сразу же, на всю жизнь был захвачен.",1,0,Paducheva2004
3663,Ивану не удалось попасть на концерт Макаревича.,1,0,Paducheva2013
3664,Я поставил фонарь около ведра.,1,0,Seliverstova
3665,В этот момент окно было открыто и мы наслаждались прохладой вечера.,1,0,Paducheva2004
3666,Я взялся за перила.,1,0,Seliverstova
3667,"Он делал гимнастику, потом час-два работал, а после этого бежал к реке купаться.",1,0,Paducheva2010
3668,Есть о чем рассказывать!,1,0,Paducheva2013
3669,"Несмотря на рассветный час, людей было много: какая-то конная часть двигалась шагом к заставе.",1,0,USE5
3670,Вблизи лошади стояла собака.,0,Semantics,Seliverstova
3671,Ехали мы уже давно.,1,0,Paducheva2004
3672,Они не замечали меня.,1,0,Paducheva2013
3673,"Чтобы получить живительный заряд положительной энергии, посмотрите наше представление.",1,0,USE5
3674,"Вдруг она, по счастью, увидала мальчика на противоположном тротуаре.",1,0,Paducheva2010
3675,Что главное требование крестьянства?,0,Syntax,Rusgram
3676,"Если бы его убили вдалеке от города, этот пакет с деньгами не мог бы быть подброшен так скоро.",1,0,Testelets
3677,Геологическая партия была на базе.,1,0,Paducheva2004
3678,После этого она захромала.,0,Semantics,Paducheva2010
3679,Этот институт находится близко от метро «Академическая».,1,0,Seliverstova
3680,Отклонений от нормы не было замечено.,1,0,Paducheva2013
3681,Он мужественно перенес наказание.,1,0,Seliverstova
3682,До конца матча осталось 5 минут.,1,0,Paducheva2010
3683,"Чего только не было: копчёные окороки, настоящее салями, мясо, яблоки, пироги!",0,Morphology,USE7
3684,"Просмотрев документ, у меня возникло сомнение в его подлинности.",0,Syntax,USE8
3685,Он быстро научился решать эти задачи.,1,0,Testelets
